Player,Team,Salary
Equanimeous St. Brown,NA,"$302,400 "
Isaiah Hodgins,NA,"$302,400 "
K.J. Hamler,NA,"$302,400 "
Laquon Treadwell,NA,"$302,400 "
Quez Watkins,NA,"$302,400 "
Trent Taylor,NA,"$302,400 "
Danny Gray,NA,"$285,600 "
Quintez Cephus,NA,"$268,800 "
K.J. Osborn,NA,"$262,224 "
Phillip Dorsett,NA,"$234,300 "
Austin Trammell,NA,"$225,000 "
Brandon Johnson,NA,"$225,000 "
Brandon Smith,NA,"$225,000 "
Bryce Tremayne,NA,"$225,000 "
Cody Thompson,NA,"$225,000 "
NA,NA,NA
Cole Burgess,NA,"$225,000 "
DJ Montgomery,NA,"$225,000 "
David Sills,NA,"$225,000 "
Dontavian Jackson,NA,"$225,000 "
Drake Stoops,NA,"$225,000 "
Dylan Drummond,NA,"$225,000 "
Elijah Cooks,NA,"$225,000 "
Jalen Cropper,NA,"$225,000 "
Jason Brownlee,NA,"$225,000 "
Jaylen Johnson,NA,"$225,000 "
Jesse Matthews,NA,"$225,000 "
Johnny Johnson,NA,"$225,000 "
Joshua Cephus,NA,"$225,000 "
Julian Hicks,NA,"$225,000 "
Justyn Ross,NA,"$225,000 "
Kazmeir Allen,NA,"$225,000 "
Kelvin Harmon,NA,"$225,000 "
Kendric Pryor,NA,"$225,000 "
Kristian Wilkerson,NA,"$225,000 "
Louis Rees-Zammit,NA,"$225,000 "
NA,NA,NA
Michael Bandy,NA,"$225,000 "
Mitchell Tinsley,NA,"$225,000 "
Praise Olatoke,NA,"$225,000 "
Qadir Ismail,NA,"$225,000 "
Sam Wiglusz,NA,"$225,000 "
Samori Toure,NA,"$225,000 "
Tejhaun Palmer,NA,"$225,000 "
Thayer Thomas,NA,"$225,000 "
Tyrell Shavers,NA,"$225,000 "
Xavier Johnson,NA,"$225,000 "
Zavier Scott,NA,"$225,000 "
Andre Baccellia,NA,"$222,500 "
Dayton Wade,NA,"$222,500 "
Jeshaun Jones,NA,"$212,500 "
Tyrone Scott,NA,"$212,500 "
Marquez Callaway,NA,"$201,600 "
Cornelius Johnson,NA,"$200,000 "
John Jackson,NA,"$200,000 "
Kearis Jackson,NA,"$175,000 "
Terique Owens,NA,"$175,000 "
NA,NA,NA
Jordan Matthews,NA,"$170,400 "
