,Player,Rec,Yds,TD,X20.,X40.,Rec.1st,X1st.,Rec.FUM,Rec.YAC.R,Tgts,Salary,catchRate,X20.39
157,Dontayvion Wicks,39,415,5,4,0,25,64.1,0,139,76,"$915,000 ",0.513157895,4
278,Josh Palmer,39,584,1,10,1,28,71.8,0,101,65,"$3,116,000 ",0.6,9
339,Marvin Mims Jr.,39,503,6,7,3,14,35.9,1,477,52,NA,0.75,4
396,Rico Dowdle,39,249,3,1,0,13,33.3,0,272,49,NA,0.795918367,1
444,Travis Etienne,39,254,0,2,0,13,33.3,0,296,52,NA,0.75,2
468,Tyler Boyd,39,390,0,4,1,20,51.3,0,189,57,"$1,440,000 ",0.684210526,3
244,Jaylen Warren,38,310,0,3,0,16,42.1,1,315,47,NA,0.808510638,3
479,Tyrone Tracy Jr.,38,284,1,0,0,13,34.2,2,281,53,NA,0.716981132,0
10,Alec Pierce,37,824,7,13,7,32,86.5,0,118,69,"$1,305,122 ",0.536231884,6
13,Allen Lazard,37,530,6,8,2,29,78.4,0,155,60,"$10,000,000 ",0.616666667,6
185,Greg Dortch,37,342,3,2,0,16,43.2,1,294,50,"$1,125,000 ",0.74,2
222,Jalen McMillan,37,461,8,8,0,23,62.2,0,133,58,"$795,000 ",0.637931034,8
252,Jerome Ford,37,225,0,3,0,10,27,0,294,43,NA,0.860465116,3
12,Alexander Mattison,36,294,1,3,0,13,36.1,0,314,48,NA,0.75,3
19,Andrei Iosivas,36,479,6,7,0,26,72.2,0,67,61,"$915,000 ",0.590163934,7
68,Calvin Austin III,36,548,4,10,3,18,50,0,152,58,NA,0.620689655,7
127,David Montgomery,36,341,0,2,1,16,44.4,0,365,38,NA,0.947368421,1
255,Joe Mixon,36,309,1,4,0,12,33.3,0,360,52,NA,0.692307692,4
276,Josh Jacobs,36,342,1,5,1,15,41.7,0,403,43,NA,0.837209302,4
358,Najee Harris,36,283,0,4,0,13,36.1,0,329,48,NA,0.75,4
28,Austin Ekeler,35,366,0,8,0,14,40,1,424,41,NA,0.853658537,8
366,Noah Brown,35,453,1,4,1,21,60,0,83,56,"$1,210,000 ",0.625,3
317,Kyren Williams,34,182,2,1,0,6,17.6,0,179,40,NA,0.85,1
150,Diontae Johnson,33,375,3,5,0,21,63.6,0,91,67,"$125,000 ",0.492537313,5
207,Ja'Tavion Sanders,33,342,1,6,1,13,39.4,1,190,43,"$795,000 ",0.76744186,5
394,Rhamondre Stevenson,33,168,1,0,0,8,24.2,1,237,41,NA,0.804878049,0
412,Saquon Barkley,33,278,2,4,1,12,36.4,0,245,43,NA,0.76744186,3
439,Tim Patrick,33,394,3,6,1,20,60.6,0,141,44,"$1,125,000 ",0.75,5
88,Chris Olave,32,400,1,4,0,22,68.8,1,121,44,"$985,000 ",0.727272727,4
128,David Moore,32,351,3,2,0,18,56.2,0,60,57,"$1,125,000 ",0.561403509,2
175,Foster Moreau,32,413,5,7,1,21,65.6,0,158,43,"$3,420,000 ",0.744186047,6
204,J.K. Dobbins,32,153,0,0,0,6,18.8,0,204,38,NA,0.842105263,0
221,Jalen Coker,32,478,2,6,1,23,71.9,0,171,46,"$795,000 ",0.695652174,5
230,James Cook,32,258,2,3,0,14,43.8,0,260,38,NA,0.842105263,3
363,Nick Westbrook-Ikhine,32,497,9,4,1,25,78.1,0,124,60,NA,0.533333333,3
371,Parker Washington,32,390,3,6,0,19,59.4,1,108,51,"$915,000 ",0.62745098,6
423,Sterling Shepard,32,334,1,4,0,16,50,0,99,51,"$1,210,000 ",0.62745098,4
105,Curtis Samuel,31,253,1,2,0,9,29,0,160,46,"$1,210,000 ",0.673913043,2
138,Demarcus Robinson,31,505,7,9,2,27,87.1,0,61,64,"$2,500,000 ",0.484375,7
296,KaVontae Turpin,31,420,2,6,1,18,58.1,1,260,52,NA,0.596153846,5
321,Lil'Jordan Humphrey,31,293,1,5,1,12,38.7,2,192,45,NA,0.688888889,4
327,Mack Hollins,31,378,5,4,1,25,80.6,0,90,50,"$1,540,000 ",0.62,3
395,Ricky Pearsall,31,400,3,5,2,19,61.3,0,114,46,"$795,000 ",0.673913043,3
8,AJ Barner,30,245,4,1,0,18,60,0,164,38,NA,0.789473684,1
97,Colby Parkinson,30,294,1,2,0,15,50,0,152,49,"$1,500,000 ",0.612244898,2
161,Dyami Brown,30,308,1,5,2,13,43.3,1,218,40,"$1,334,181 ",0.75,3
464,Tyjae Spears,30,224,1,2,1,9,30,0,255,35,NA,0.857142857,1
74,Cedric Tillman,29,339,3,6,0,15,51.7,1,104,49,"$1,005,696 ",0.591836735,6
92,Christian Watson,29,620,2,12,5,21,72.4,1,149,53,"$1,545,094 ",0.547169811,7
307,Keon Coleman,29,556,4,12,4,22,75.9,0,215,57,"$795,000 ",0.50877193,8
437,Theo Johnson,29,331,1,4,0,16,55.2,0,149,43,"$795,000 ",0.674418605,4
223,Jalen Nailor,28,414,6,8,0,22,78.6,0,106,42,"$985,000 ",0.666666667,8
280,Josh Whyle,28,248,1,3,0,14,50,0,143,37,"$915,000 ",0.756756757,3
302,Kendrick Bourne,28,305,1,2,0,13,46.4,0,94,38,"$1,300,000 ",0.736842105,2
411,Samaje Perine,28,322,1,5,0,16,57.1,0,313,35,NA,0.8,5
458,Troy Franklin,28,263,2,5,0,11,39.3,0,163,53,"$795,000 ",0.528301887,5
90,Christian Kirk,27,379,1,7,1,18,66.7,0,113,47,"$14,500,000 ",0.574468085,6
326,Luke Schoonmaker,27,241,1,3,0,11,40.7,0,97,36,"$1,034,849 ",0.75,3
44,Brandin Cooks,26,259,3,3,0,19,73.1,0,55,54,"$8,000,000 ",0.481481481,3
331,Malik Washington,26,223,0,2,0,13,50,0,123,36,"$795,000 ",0.722222222,2
472,Tyler Johnson,26,291,1,4,1,10,38.5,0,180,41,"$1,055,000 ",0.634146341,3
45,Brandon Aiyuk,25,374,0,5,1,20,80,0,92,47,"$1,125,000 ",0.531914894,4
